バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
7th style,A,NORMAL,8,613,PEAK
7th style,A,HYPER,11,1119,PEAK
7th style,A,ANOTHER,12,1343,CHORD
Lincle,A MINSTREL ～ ver. short-scape ～,NORMAL,3,346,PEAK
Lincle,A MINSTREL ～ ver. short-scape ～,HYPER,8,771,NOTES
Lincle,A MINSTREL ～ ver. short-scape ～,ANOTHER,9,1231,CHORD
Lincle,A MINSTREL ～ ver. short-scape ～,LEGGENDARIA,12,1965,CHORD
Rootage,A Tale Hidden In The Abyss,NORMAL,6,,
Rootage,A Tale Hidden In The Abyss,HYPER,9,864,NOTES
Rootage,A Tale Hidden In The Abyss,ANOTHER,11,1346,NOTES
10th style,A-JAX (3-WAY MIX),NORMAL,4,428,SCRATCH
10th style,A-JAX (3-WAY MIX),HYPER,8,,
10th style,A-JAX (3-WAY MIX),ANOTHER,10,1066,SOF-LAN
IIDX RED,AA,NORMAL,5,659,PEAK
IIDX RED,AA,HYPER,9,997,PEAK
IIDX RED,AA,ANOTHER,12,1739,NOTES
CANNON BALLERS,AA -rebuild-,NORMAL,7,712,PEAK
CANNON BALLERS,AA -rebuild-,HYPER,10,1192,NOTES
CANNON BALLERS,AA -rebuild-,ANOTHER,12,1752,NOTES
CANNON BALLERS,Abraxas,NORMAL,5,414,PEAK
CANNON BALLERS,Abraxas,HYPER,9,921,NOTES
CANNON BALLERS,Abraxas,ANOTHER,11,1254,PEAK
4th style,ABSOLUTE,NORMAL,6,728,NOTES
4th style,ABSOLUTE,HYPER,8,934,NOTES
4th style,ABSOLUTE,ANOTHER,11,1338,NOTES
4th style,ABSOLUTE,LEGGENDARIA,11,1488,CHARGE
BISTROVER,ABSOLUTE (kors k Remix),NORMAL,5,475,NOTES
BISTROVER,ABSOLUTE (kors k Remix),HYPER,8,819,CHARGE
BISTROVER,ABSOLUTE (kors k Remix),ANOTHER,11,1313,CHARGE
CastHour,ABSOLUTE EVIL,NORMAL,6,603,PEAK
CastHour,ABSOLUTE EVIL,HYPER,10,1193,PEAK
CastHour,ABSOLUTE EVIL,ANOTHER,12,1818,PEAK
5th style,Abyss,NORMAL,7,771,NOTES
5th style,Abyss,HYPER,8,889,PEAK
5th style,Abyss,ANOTHER,9,964,PEAK
9th style,Abyss -The Heavens Remix-,NORMAL,6,803,PEAK
9th style,Abyss -The Heavens Remix-,HYPER,9,1036,NOTES
9th style,Abyss -The Heavens Remix-,ANOTHER,10,1102,NOTES
9th style,Abyss -The Heavens Remix-,LEGGENDARIA,11,1557,NOTES
CANNON BALLERS,ACCELERATE,NORMAL,5,561,NOTES
CANNON BALLERS,ACCELERATE,HYPER,8,869,NOTES
CANNON BALLERS,ACCELERATE,ANOTHER,10,1328,CHORD
copula,Acid Pumper,NORMAL,5,392,PEAK
copula,Acid Pumper,HYPER,9,850,PEAK
copula,Acid Pumper,ANOTHER,11,1221,CHARGE
CANNON BALLERS,Acidiva 303,NORMAL,4,,
CANNON BALLERS,Acidiva 303,HYPER,7,702,NOTES
CANNON BALLERS,Acidiva 303,ANOTHER,10,1109,NOTES
9th style,ACT,NORMAL,6,637,NOTES
9th style,ACT,HYPER,9,890,NOTES
9th style,ACT,ANOTHER,10,1005,PEAK
EPOLIS,ACT0,NORMAL,6,620,SCRATCH
EPOLIS,ACT0,HYPER,10,1043,PEAK
EPOLIS,ACT0,ANOTHER,12,1606,NOTES
Pinky Crush,ADAMANT,NORMAL,6,580,NOTES
Pinky Crush,ADAMANT,HYPER,9,995,PEAK
Pinky Crush,ADAMANT,ANOTHER,11,1525,CHARGE
SPADA,Adularia,NORMAL,6,524,PEAK
SPADA,Adularia,HYPER,10,946,PEAK
SPADA,Adularia,ANOTHER,12,1382,CHARGE
9th style,ADVANCE,NORMAL,5,370,PEAK
9th style,ADVANCE,HYPER,6,,
9th style,ADVANCE,ANOTHER,7,620,NOTES
HEROIC VERSE,Advent Infamous,NORMAL,5,503,PEAK
HEROIC VERSE,Advent Infamous,HYPER,8,854,NOTES
HEROIC VERSE,Advent Infamous,ANOTHER,11,1430,PEAK
Resort Anthem,Aegis,NORMAL,5,444,PEAK
Resort Anthem,Aegis,HYPER,8,728,PEAK
Resort Anthem,Aegis,ANOTHER,10,1109,PEAK
INFINITAS,Aerial Skydive,NORMAL,5,,
INFINITAS,Aerial Skydive,HYPER,8,842,NOTES
INFINITAS,Aerial Skydive,ANOTHER,10,1259,NOTES
EPOLIS,Aeterna,NORMAL,4,507,NOTES
EPOLIS,Aeterna,HYPER,8,789,NOTES
EPOLIS,Aeterna,ANOTHER,11,1258,CHORD
SINOBUZ,Affection,NORMAL,3,,
SINOBUZ,Affection,HYPER,6,,
SINOBUZ,Affection,ANOTHER,10,1163,NOTES
PENDUAL,AFRO KNUCKLE,NORMAL,5,446,PEAK
PENDUAL,AFRO KNUCKLE,HYPER,9,920,PEAK
PENDUAL,AFRO KNUCKLE,ANOTHER,11,1320,PEAK
Rootage,Afterimage d'automne,NORMAL,6,525,PEAK
Rootage,Afterimage d'automne,HYPER,9,913,PEAK
Rootage,Afterimage d'automne,ANOTHER,12,1554,CHARGE
CastHour,Aftermath,NORMAL,6,595,PEAK
CastHour,Aftermath,HYPER,10,1257,NOTES
CastHour,Aftermath,ANOTHER,12,1777,CHARGE
