バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性
7th style,A,NORMAL,6,666,PEAK
7th style,A,HYPER,10,1111,NOTES
7th style,A,ANOTHER,12,1260,PEAK
Lincle,A MINSTREL ～ ver. short-scape ～,NORMAL,3,341,PEAK
Lincle,A MINSTREL ～ ver. short-scape ～,HYPER,6,732,NOTES
Lincle,A MINSTREL ～ ver. short-scape ～,ANOTHER,9,1187,CHORD
Lincle,A MINSTREL ～ ver. short-scape ～,LEGGENDARIA,12,1954,CHORD
Rootage,A Tale Hidden In The Abyss,NORMAL,6,480,NOTES
Rootage,A Tale Hidden In The Abyss,HYPER,9,888,NOTES
Rootage,A Tale Hidden In The Abyss,ANOTHER,11,1346,NOTES
10th style,A-JAX (3-WAY MIX),NORMAL,4,428,SCRATCH
10th style,A-JAX (3-WAY MIX),HYPER,8,680,SOF-LAN
10th style,A-JAX (3-WAY MIX),ANOTHER,10,1066,SOF-LAN
IIDX RED,AA,NORMAL,5,642,PEAK
IIDX RED,AA,HYPER,10,1386,NOTES
IIDX RED,AA,ANOTHER,12,1834,NOTES
CANNON BALLERS,AA -rebuild-,NORMAL,7,646,NOTES
CANNON BALLERS,AA -rebuild-,HYPER,10,1253,NOTES
CANNON BALLERS,AA -rebuild-,ANOTHER,12,1820,NOTES
CANNON BALLERS,Abraxas,NORMAL,5,403,PEAK
CANNON BALLERS,Abraxas,HYPER,9,844,NOTES
CANNON BALLERS,Abraxas,ANOTHER,11,1241,PEAK
4th style,ABSOLUTE,NORMAL,6,682,NOTES
4th style,ABSOLUTE,HYPER,8,935,NOTES
4th style,ABSOLUTE,ANOTHER,10,1218,NOTES
4th style,ABSOLUTE,LEGGENDARIA,11,1412,CHARGE
BISTROVER,ABSOLUTE (kors k Remix),NORMAL,5,476,NOTES
BISTROVER,ABSOLUTE (kors k Remix),HYPER,8,,
BISTROVER,ABSOLUTE (kors k Remix),ANOTHER,11,1336,CHARGE
CastHour,ABSOLUTE EVIL,BEGINNER,1,127,SCRATCH
CastHour,ABSOLUTE EVIL,NORMAL,6,602,PEAK
CastHour,ABSOLUTE EVIL,HYPER,10,1136,CHARGE
CastHour,ABSOLUTE EVIL,ANOTHER,12,1778,CHARGE
5th style,Abyss,NORMAL,5,639,NOTES
5th style,Abyss,HYPER,7,817,NOTES
5th style,Abyss,ANOTHER,8,945,NOTES
9th style,Abyss -The Heavens Remix-,BEGINNER,3,288,NOTES
9th style,Abyss -The Heavens Remix-,NORMAL,7,766,NOTES
9th style,Abyss -The Heavens Remix-,HYPER,10,938,PEAK
9th style,Abyss -The Heavens Remix-,ANOTHER,10,1188,NOTES
9th style,Abyss -The Heavens Remix-,LEGGENDARIA,11,1637,NOTES
CANNON BALLERS,ACCELERATE,NORMAL,6,597,NOTES
CANNON BALLERS,ACCELERATE,HYPER,8,895,NOTES
CANNON BALLERS,ACCELERATE,ANOTHER,10,1261,NOTES
copula,Acid Pumper,NORMAL,4,348,PEAK
copula,Acid Pumper,HYPER,9,812,CHARGE
copula,Acid Pumper,ANOTHER,11,1267,CHARGE
CANNON BALLERS,Acidiva 303,NORMAL,4,416,NOTES
CANNON BALLERS,Acidiva 303,HYPER,7,703,NOTES
CANNON BALLERS,Acidiva 303,ANOTHER,10,1161,NOTES
9th style,ACT,NORMAL,6,532,PEAK
9th style,ACT,HYPER,9,864,NOTES
9th style,ACT,ANOTHER,9,935,NOTES
EPOLIS,ACT0,NORMAL,6,639,NOTES
EPOLIS,ACT0,HYPER,10,1124,NOTES
EPOLIS,ACT0,ANOTHER,12,1534,NOTES
Pinky Crush,ADAMANT,NORMAL,6,580,NOTES
Pinky Crush,ADAMANT,HYPER,9,995,NOTES
Pinky Crush,ADAMANT,ANOTHER,11,1539,CHARGE
SPADA,Adularia,NORMAL,6,540,PEAK
SPADA,Adularia,HYPER,10,972,NOTES
SPADA,Adularia,ANOTHER,12,1449,CHARGE
9th style,ADVANCE,NORMAL,4,241,PEAK
9th style,ADVANCE,HYPER,6,444,NOTES
9th style,ADVANCE,ANOTHER,7,673,PEAK
HEROIC VERSE,Advent Infamous,NORMAL,5,508,PEAK
HEROIC VERSE,Advent Infamous,HYPER,8,843,NOTES
HEROIC VERSE,Advent Infamous,ANOTHER,11,1454,NOTES
Resort Anthem,Aegis,NORMAL,6,459,SCRATCH
Resort Anthem,Aegis,HYPER,8,717,SCRATCH
Resort Anthem,Aegis,ANOTHER,11,1202,NOTES
INFINITAS,Aerial Skydive,NORMAL,5,442,NOTES
INFINITAS,Aerial Skydive,HYPER,8,853,NOTES
INFINITAS,Aerial Skydive,ANOTHER,10,1210,NOTES
EPOLIS,Aeterna,NORMAL,4,498,NOTES
EPOLIS,Aeterna,HYPER,8,797,NOTES
EPOLIS,Aeterna,ANOTHER,10,1285,CHORD
SINOBUZ,Affection,NORMAL,3,305,NOTES
SINOBUZ,Affection,HYPER,6,610,NOTES
SINOBUZ,Affection,ANOTHER,10,1054,NOTES
PENDUAL,AFRO KNUCKLE,NORMAL,5,496,PEAK
PENDUAL,AFRO KNUCKLE,HYPER,8,917,PEAK
PENDUAL,AFRO KNUCKLE,ANOTHER,11,1226,PEAK
Rootage,Afterimage d'automne,NORMAL,6,519,PEAK
Rootage,Afterimage d'automne,HYPER,9,879,PEAK
Rootage,Afterimage d'automne,ANOTHER,11,1480,NOTES
CastHour,Aftermath,NORMAL,6,619,PEAK
CastHour,Aftermath,HYPER,10,1220,NOTES
CastHour,Aftermath,ANOTHER,12,1828,CHARGE
Rootage,AGAiN,NORMAL,5,518,NOTES
Rootage,AGAiN,HYPER,8,823,NOTES
Rootage,AGAiN,ANOTHER,10,1166,NOTES
IIDX RED,AGEHA,BEGINNER,3,305,PEAK
IIDX RED,AGEHA,NORMAL,5,537,PEAK
IIDX RED,AGEHA,HYPER,8,888,PEAK
IIDX RED,AGEHA,ANOTHER,9,948,PEAK
IIDX RED,AGEHA,LEGGENDARIA,11,1232,CHORD
HAPPY SKY,Agnus Dei,NORMAL,5,466,SOF-LAN
HAPPY SKY,Agnus Dei,HYPER,9,850,SOF-LAN
HAPPY SKY,Agnus Dei,ANOTHER,10,1051,SOF-LAN
BISTROVER,Ah Hah Yeah,NORMAL,4,367,SOF-LAN
BISTROVER,Ah Hah Yeah,HYPER,8,729,SOF-LAN
BISTROVER,Ah Hah Yeah,ANOTHER,11,1108,SOF-LAN
GOLD,Air Bell,NORMAL,5,499,PEAK
GOLD,Air Bell,HYPER,6,687,NOTES
GOLD,Air Bell,ANOTHER,8,868,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,BEGINNER,3,276,PEAK
SIRIUS,AIR RAID FROM THA UNDAGROUND,NORMAL,7,,
SIRIUS,AIR RAID FROM THA UNDAGROUND,HYPER,9,952,NOTES
SIRIUS,AIR RAID FROM THA UNDAGROUND,ANOTHER,11,1189,NOTES
SIRIUS,AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,12,1523,PEAK
8th style,airflow,NORMAL,3,295,SOF-LAN
8th style,airflow,HYPER,5,402,SOF-LAN
8th style,airflow,ANOTHER,7,721,PEAK
INFINITAS,airflow -dreaming of the sky- Game Edition,NORMAL,3,264,SOF-LAN
INFINITAS,airflow -dreaming of the sky- Game Edition,HYPER,7,642,SOF-LAN
INFINITAS,airflow -dreaming of the sky- Game Edition,ANOTHER,9,894,SOF-LAN
HEROIC VERSE,AKASHIC BREAK,NORMAL,6,633,NOTES
HEROIC VERSE,AKASHIC BREAK,HYPER,10,1243,NOTES
HEROIC VERSE,AKASHIC BREAK,ANOTHER,12,1823,CHORD
SPADA,ALBA -黎明-,NORMAL,5,330,PEAK
SPADA,ALBA -黎明-,HYPER,8,787,NOTES
SPADA,ALBA -黎明-,ANOTHER,11,1631,CHORD
Resort Anthem,ALBIDA,BEGINNER,3,267,PEAK
Resort Anthem,ALBIDA,NORMAL,6,,
Resort Anthem,ALBIDA,HYPER,10,1013,NOTES
Resort Anthem,ALBIDA,ANOTHER,12,1530,CHORD
DistorteD,ALFARSHEAR 双神威に廻る夢,BEGINNER,2,222,PEAK
DistorteD,ALFARSHEAR 双神威に廻る夢,NORMAL,5,548,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,HYPER,7,838,NOTES
DistorteD,ALFARSHEAR 双神威に廻る夢,ANOTHER,10,1049,PEAK
EMPRESS,ALL I NEED YOUR LOVE,NORMAL,5,559,SCRATCH
EMPRESS,ALL I NEED YOUR LOVE,HYPER,7,873,PEAK
EMPRESS,ALL I NEED YOUR LOVE,ANOTHER,9,1081,PEAK
SPADA,All is Wrecked,NORMAL,5,465,NOTES
SPADA,All is Wrecked,HYPER,8,,
SPADA,All is Wrecked,ANOTHER,11,1289,NOTES
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,NORMAL,6,533,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,HYPER,9,971,PEAK
EMPRESS,ALL MY TURN -このターンに、オレの全てを賭ける-,ANOTHER,11,1314,PEAK
INFINITAS,ALL OK!!,NORMAL,6,,
INFINITAS,ALL OK!!,HYPER,10,1074,PEAK
INFINITAS,ALL OK!!,ANOTHER,12,1564,NOTES
8th style,ALL RIGHT,NORMAL,4,446,NOTES
8th style,ALL RIGHT,HYPER,8,,
8th style,ALL RIGHT,ANOTHER,9,815,PEAK
HAPPY SKY,alla turca con passione,NORMAL,5,409,NOTES
HAPPY SKY,alla turca con passione,HYPER,8,829,NOTES
HAPPY SKY,alla turca con passione,ANOTHER,10,1103,PEAK
Lincle,Almace,NORMAL,4,432,NOTES
Lincle,Almace,HYPER,8,660,NOTES
Lincle,Almace,ANOTHER,10,1012,CHARGE
SIRIUS,Almagest,NORMAL,7,519,NOTES
SIRIUS,Almagest,HYPER,11,1146,CHARGE
SIRIUS,Almagest,ANOTHER,12,1629,CHARGE
CANNON BALLERS,Alpheratz,NORMAL,2,218,NOTES
CANNON BALLERS,Alpheratz,HYPER,5,519,PEAK
CANNON BALLERS,Alpheratz,ANOTHER,9,1049,NOTES
CastHour,ALTERNATOR,NORMAL,7,684,PEAK
CastHour,ALTERNATOR,HYPER,10,1289,CHORD
CastHour,ALTERNATOR,ANOTHER,12,1907,CHORD
RESIDENT,Always We Trust In You,NORMAL,6,607,PEAK
RESIDENT,Always We Trust In You,HYPER,9,951,PEAK
RESIDENT,Always We Trust In You,ANOTHER,12,1625,NOTES
INFINITAS,Amabie,NORMAL,4,,
INFINITAS,Amabie,HYPER,8,,
INFINITAS,Amabie,ANOTHER,10,1246,NOTES
SINOBUZ,Amazing Mirage,BEGINNER,2,189,PEAK
SINOBUZ,Amazing Mirage,NORMAL,5,458,NOTES
SINOBUZ,Amazing Mirage,HYPER,9,894,NOTES
SINOBUZ,Amazing Mirage,ANOTHER,11,1343,NOTES
SINOBUZ,Amazing Mirage,LEGGENDARIA,12,1684,CHORD
RESIDENT,Ambush Ace,NORMAL,5,542,NOTES
RESIDENT,Ambush Ace,HYPER,9,1075,NOTES
RESIDENT,Ambush Ace,ANOTHER,11,1492,NOTES
EPOLIS,Amethyst,NORMAL,6,667,PEAK
EPOLIS,Amethyst,HYPER,9,933,NOTES
EPOLIS,Amethyst,ANOTHER,11,1322,PEAK
CastHour,AMICABLE,NORMAL,5,519,PEAK
CastHour,AMICABLE,HYPER,8,809,PEAK
CastHour,AMICABLE,ANOTHER,10,1259,CHORD
PENDUAL,Amnolys,NORMAL,5,,
PENDUAL,Amnolys,HYPER,9,876,NOTES
PENDUAL,Amnolys,ANOTHER,11,1354,CHORD
CANNON BALLERS,Amor De Verao,NORMAL,4,404,SCRATCH
CANNON BALLERS,Amor De Verao,HYPER,8,,
CANNON BALLERS,Amor De Verao,ANOTHER,11,1193,NOTES
BISTROVER,AMRITA -不滅ノ花-,NORMAL,4,455,NOTES
BISTROVER,AMRITA -不滅ノ花-,HYPER,8,815,NOTES
BISTROVER,AMRITA -不滅ノ花-,ANOTHER,11,1398,NOTES
CANNON BALLERS,ANAGMA,NORMAL,5,522,NOTES
CANNON BALLERS,ANAGMA,HYPER,8,925,NOTES
CANNON BALLERS,ANAGMA,ANOTHER,10,1339,NOTES
