バージョン,曲名,難易度,レベル,ノーツ数,ノーツレーダー属性,カテゴリ
7th style,A,D.J.Amuro,NORMAL,8,613,PEAK,BIT解禁曲
7th style,A,D.J.Amuro,HYPER,11,1119,PEAK,BIT解禁曲
7th style,A,D.J.Amuro,ANOTHER,12,1343,CHORD,BIT解禁曲
Lincle,A MINSTREL ～ ver. short-scape ～,KANTASIA by S.S.D. PRODUCTS,NORMAL,3,346,PEAK,初期収録曲
Lincle,A MINSTREL ～ ver. short-scape ～,KANTASIA by S.S.D. PRODUCTS,HYPER,8,771,NOTES,初期収録曲
Lincle,A MINSTREL ～ ver. short-scape ～,KANTASIA by S.S.D. PRODUCTS,ANOTHER,9,1231,CHORD,初期収録曲
Lincle,A MINSTREL ～ ver. short-scape ～,KANTASIA by S.S.D. PRODUCTS,LEGGENDARIA,12,1965,CHORD,初期収録曲
Rootage,A Tale Hidden In The Abyss,"BEMANI Sound Team ""person09""",NORMAL,6,,,楽曲パック vol.16
Rootage,A Tale Hidden In The Abyss,"BEMANI Sound Team ""person09""",HYPER,9,864,NOTES,楽曲パック vol.16
Rootage,A Tale Hidden In The Abyss,"BEMANI Sound Team ""person09""",ANOTHER,11,1346,NOTES,楽曲パック vol.16
10th style,A-JAX (3-WAY MIX),Mr.T,NORMAL,4,428,SCRATCH,BIT解禁曲
10th style,A-JAX (3-WAY MIX),Mr.T,HYPER,8,,,BIT解禁曲
10th style,A-JAX (3-WAY MIX),Mr.T,ANOTHER,10,1066,SOF-LAN,BIT解禁曲
IIDX RED,AA,D.J.Amuro,NORMAL,5,659,PEAK,初期収録曲
IIDX RED,AA,D.J.Amuro,HYPER,9,997,PEAK,初期収録曲
IIDX RED,AA,D.J.Amuro,ANOTHER,12,1739,NOTES,初期収録曲
CANNON BALLERS,AA -rebuild-,D.J.Amuro,NORMAL,7,712,PEAK,楽曲パック vol.15
CANNON BALLERS,AA -rebuild-,D.J.Amuro,HYPER,10,1192,NOTES,楽曲パック vol.15
CANNON BALLERS,AA -rebuild-,D.J.Amuro,ANOTHER,12,1752,NOTES,楽曲パック vol.15
CANNON BALLERS,Abraxas,SYUNN,NORMAL,5,414,PEAK,初期収録曲
CANNON BALLERS,Abraxas,SYUNN,HYPER,9,921,NOTES,初期収録曲
CANNON BALLERS,Abraxas,SYUNN,ANOTHER,11,1254,PEAK,初期収録曲
4th style,ABSOLUTE,dj TAKA,NORMAL,6,728,NOTES,BIT解禁曲
4th style,ABSOLUTE,dj TAKA,HYPER,8,934,NOTES,BIT解禁曲
4th style,ABSOLUTE,dj TAKA,ANOTHER,11,1338,NOTES,BIT解禁曲
4th style,ABSOLUTE,dj TAKA,LEGGENDARIA,11,1488,CHARGE,BIT解禁曲
BISTROVER,ABSOLUTE (kors k Remix),Remixed by kors k,NORMAL,5,475,NOTES,BIT解禁曲
BISTROVER,ABSOLUTE (kors k Remix),Remixed by kors k,HYPER,8,819,CHARGE,BIT解禁曲
BISTROVER,ABSOLUTE (kors k Remix),Remixed by kors k,ANOTHER,11,1313,CHARGE,BIT解禁曲
CastHour,ABSOLUTE EVIL,Yuta Imai,NORMAL,6,603,PEAK,楽曲パック vol.24
CastHour,ABSOLUTE EVIL,Yuta Imai,HYPER,10,1193,PEAK,楽曲パック vol.24
CastHour,ABSOLUTE EVIL,Yuta Imai,ANOTHER,12,1818,PEAK,楽曲パック vol.24
5th style,Abyss,dj TAKA,NORMAL,7,771,NOTES,BIT解禁曲
5th style,Abyss,dj TAKA,HYPER,8,889,PEAK,BIT解禁曲
5th style,Abyss,dj TAKA,ANOTHER,9,964,PEAK,BIT解禁曲
9th style,Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆,NORMAL,6,803,PEAK,初期収録曲
9th style,Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆,HYPER,9,1036,NOTES,初期収録曲
9th style,Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆,ANOTHER,10,1102,NOTES,初期収録曲
9th style,Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆,LEGGENDARIA,11,1557,NOTES,初期収録曲
CANNON BALLERS,ACCELERATE,Sota Fujimori,NORMAL,5,561,NOTES,楽曲パック vol.14
CANNON BALLERS,ACCELERATE,Sota Fujimori,HYPER,8,869,NOTES,楽曲パック vol.14
CANNON BALLERS,ACCELERATE,Sota Fujimori,ANOTHER,10,1328,CHORD,楽曲パック vol.14
copula,Acid Pumper,ni-21,NORMAL,5,392,PEAK,楽曲パック vol.10
copula,Acid Pumper,ni-21,HYPER,9,850,PEAK,楽曲パック vol.10
copula,Acid Pumper,ni-21,ANOTHER,11,1221,CHARGE,楽曲パック vol.10
CANNON BALLERS,Acidiva 303,ni-21,NORMAL,4,,,楽曲パック vol.14
CANNON BALLERS,Acidiva 303,ni-21,HYPER,7,702,NOTES,楽曲パック vol.14
CANNON BALLERS,Acidiva 303,ni-21,ANOTHER,10,1109,NOTES,楽曲パック vol.14
9th style,ACT,RAM,NORMAL,6,637,NOTES,BIT解禁曲
9th style,ACT,RAM,HYPER,9,890,NOTES,BIT解禁曲
9th style,ACT,RAM,ANOTHER,10,1005,PEAK,BIT解禁曲
EPOLIS,ACT0,モリモリあつし,NORMAL,6,620,SCRATCH,楽曲パック vol.27
EPOLIS,ACT0,モリモリあつし,HYPER,10,1043,PEAK,楽曲パック vol.27
